Artist ID,Album ID,Album URL,Album date,Video link
Group-close-your-eyes,2026-the-judge-returns-ost-part-1,/musicalbum/2026-The-Judge-Returns-OST-Part-1,260103,3Lj1CoLVQbU
Group-oneus,2026-origin,/musicalbum/2026-Origin,260120,-XJi9qCv_1s
Group-onewe,2026-studio-we-recording-4,/musicalbum/2026-STUDIO-WE-Recording-4,260130,ZkA18GPAylY
Idol-dia2,2026-dance,/musicalbum/2026-Dance,260109,VQucfbsmlyc
Idol-inseong,2026-crossfade,/musicalbum/2026-Crossfade,260114,U4avKonYpIk
Idol-lia,2026-idol-i-part-6,/musicalbum/2026-IDOL-I-Part-6,260106,1UyzVpQDkW8
Group-aesther,2026-starlight,/musicalbum/2026-Starlight,260110,fAVrqc-IphQ
Group-unknown,2026-yesweare,/musicalbum/2026-yesweare,260105,L_IrTG4E-CY
Group-kiiikiii,2026-delulu-park,/musicalbum/2026-DELULU-PARK,260126,
Group-zerobaseone,2026-running-to-future,/musicalbum/2026-Running-to-Future,260109,v5_GoNFr5wc
Idol-bada,2026-our-loud-goodbye,/musicalbum/2026-Our-Loud-Goodbye,260107,OrlkRhaVnhk
Idol-dept,2026-blue,/musicalbum/2026-Blue,260107,zSFmsS5ufDs
Idol-wonpil,2026-wish,/musicalbum/2026-Wish,260107,22CcsqxQdW0
Group-2z,2026-6-six,/musicalbum/2026-6-SIX,260114,7KqkSpD4AxI
Group-kiiikiii,2026-delulu-pack,/musicalbum/2026-DELULU-PACK,260126,BTlj6Sls7KE
Idol-unknown,2026-beautiful-pain,/musicalbum/2026-Beautiful-Pain,260115,KRAFmgTECWw
Group-hades,2026-planet-b,/musicalbum/2026-Planet-B,260109,hRlt2L-MJKU
Group-young-posse,2026-lose-your-shxt,/musicalbum/2026-Lose-Your-Shxt,260110,Sf5ErqLw33M
Idol-henry,2026-cold-air,/musicalbum/2026-Cold-Air,260110,i3hQxcVNXx0
Idol-jeong-hyo-bean,2026-marigold,/musicalbum/2026-Marigold,260125,
Idol-jiseong,2026-requested,/musicalbum/2026-Requested,260110,JGvx-7IkUCA
Idol-yeoeun,2026-do-you-know,/musicalbum/2026-Do-you-know,260109,2gbVYUcPRwY
Group-catch-the-young,2026-evolve,/musicalbum/2026-Evolve,260119,bt1BdmKRzzw
Group-la-poem,2026-alive,/musicalbum/2026-Alive,260120,nzWl5oaZ1Gg
Group-oneus,2026-won,/musicalbum/2026-Won,260120,-XJi9qCv_1s
Idol-miyeon,2026-spring-fever-pt-1-original-soundtrack,/musicalbum/2026-Spring-Fever-Pt-1-Original-Soundtrack,260106,v94Q1nzU4Vc
Idol-younha,2026-sub-character,/musicalbum/2026-Sub-Character,260202,
Group-2nb,2026-if-i-didn-t-meet-you-that-day,/musicalbum/2026-If-I-Didn-t-Meet-You-That-Day,260111,
Idol-ha-sung-woon,2026-to-my-beloved-thief-pt-1-original-soundtrack,/musicalbum/2026-To-My-Beloved-Thief-Pt-1-Original-Soundtrack,260104,ER4YaTP2Sc8
Group-ateez,2026-golden-hour-part-4,/musicalbum/2026-GOLDEN-HOUR-Part-4,260206,uGTz6iCDvIw
Group-enhypen,2026-dark-moon-the-blood-alter-ost,/musicalbum/2026-Dark-Moon-The-Blood-Alter-OST,260112,EKrsvC7XxhE
Group-kickflip,2026-to-my-beloved-thief-pt-2-original-soundtrack,/musicalbum/2026-To-My-Beloved-Thief-Pt-2-Original-Soundtrack,260111,HHkj1M34QNg
Idol-yeoeun,2026-because-you-re-so-beautiful,/musicalbum/2026-Because-You-re-So-Beautiful,260113,bxPt9jC1Xxo
Group-axmxp,2026-amplify-my-way,/musicalbum/2026-Amplify-My-Way,260121,SUJn2h-J5Ko
Group-kaja,2026-future-calling,/musicalbum/2026-Future-Calling,260107,cAIfrwyYmVo
