Artist ID,Album ID,Album URL,Album date,Video link,Album type,Label,ID
Group-misamo,2026-confetti,/musicalbums/2026-Confetti,260116,gOjG-70-D5o,,,
Idol-unknown,2026-119,/musicalbums/2026-119,260118,gJrl2mpEsxI,single,Way Better,52050372-d2e5-4992-a03f-411e941b0ec8
Idol-lola2,2026-tatz,/musicalbums/2026-Tatz,260119,4jyZpXEW88E,single,Symphonic,a1ed2d12-ba51-4a25-8b47-cafd45657931
Group-aoen,2026-fell-in-a-second,/musicalbums/2026-Fell-in-a-Second,260318,,,,
Group-forestella,2026-nella-notte,/musicalbums/2026-Nella-Notte,260119,HUNkE8Sopwo,,,
Group-rescene,2026-pinball-japanese-ver,/musicalbums/2026-Pinball-Japanese-Ver,260121,ou2Y2vGKCyY,single,THE MUZE Entertainment,29db896c-f8d6-4846-bd0a-bbcd01bfbf18
Idol-bora2,2026-muffler,/musicalbums/2026-Muffler,260115,RV5_Y_f7u0k,,,
Idol-dia2,2026-dance-sped-up,/musicalbums/2026-Dance-Sped-Up,260110,,,,
Idol-james-lee,2026-dead-stars,/musicalbums/2026-Dead-Stars,260119,K7t12aTmhkc,,,
Idol-unknown,2026-suji,/musicalbums/2026-SUJI,260114,Vj3zqFDToIM,,,
Group-billlie,2026-cloud-palace-false-awakening,/musicalbums/2026-Cloud-Palace-False-Awakening,260127,SeZ6L9jZmHc,,,
Group-nwh-i,2026-siren-call,/musicalbums/2026-Siren-Call,260126,wlR8b_uOfh4,,,
Group-1verse,2026-wabif,/musicalbums/2026-WABIF,260121,F192Gkz5Tas,,,
Group-8turn,2026-bruise,/musicalbums/2026-Bruise,260128,4sl47VgK_4A,,,
Group-kickflip,2026-from-kickflip-to-weflip,/musicalbums/2026-From-KickFlip-To-WeFlip,260120,OgOm9Ei0BUc,,,
Group-pow,2026-come-true,/musicalbums/2026-Come-True,260128,kI9YD61ehIw,,,
Group-txt,2026-sss-sending-secret-signals-feat-hyde,/musicalbums/2026-SSS-Sending-Secret-Signals-feat-HYDE,260126,XQ7vBKHMw7M,,,
Idol-maddyxp,2026-grapefruit,/musicalbums/2026-grapefruit,260117,3WT8A28JPnY,,,
Idol-yena2,2026-nemonemo-japanese-ver,/musicalbums/2026-Nemonemo-Japanese-Ver,260121,HRDApL3_m18,,,
Group-i-dle,2026-mono,/musicalbums/2026-Mono,260127,DYgE3SGPEqk,mini_album,,df9b5c87-d86d-472d-90bd-1bb09acccebd
Group-skinz,2026-why-u-mad,/musicalbums/2026-WHY-U-MAD,260204,CO7xkEXsn5s,,,
Idol-choi-hari,2026-jumper,/musicalbums/2026-JUMPER,260121,,,,
Idol-hebi,2026-become,/musicalbums/2026-Become,260122,XPqXU3SfxdU,,,
